learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Pool Size
8000.0,2.859375,0.15625,6400.0,1.796875,556.5217391304348,0.0,7000.0,8.984092236055366,-2207.575757575751,-5.837387074357199,8000.0,0.0,25.0
9000.0,3.359375,0.15625,6400.0,1.71875,581.8181818181819,0.0,8000.0,5.434589969134375,-2482.142857142868,-4.028776978417248,9000.0,0.0,25.0
10000.0,3.734375,0.234375,4266.666666666667,1.25,800.0,0.0,9000.0,6.18819631172109,-2498.0392156862804,-2.7928626842513604,10000.0,0.0,25.0
11000.0,4.109375,0.234375,4266.666666666667,1.328125,752.9411764705883,0.0,10000.0,10.41373449682229,-2821.7741935483946,-12.690513219284586,11000.0,0.0,25.0
12000.0,4.5,0.15625,6400.0,1.25,800.0,0.0,11000.0,6.366861204500355,-3204.477611940298,-26.7678213569997,12000.0,0.0,25.0
13000.0,4.84375,0.234375,4266.666666666667,1.09375,914.2857142857143,0.0,12000.0,7.73744268758599,-3211.940298507465,-27.05410821643286,13000.0,0.0,25.0
14000.0,5.28125,0.234375,4266.666666666667,1.40625,711.1111111111111,0.0,13000.0,8.950057526822588,-3211.9402985074485,-27.054108216432876,14000.0,0.0,25.0
15000.0,5.765625,0.3125,3200.0,1.40625,711.1111111111111,0.0,14000.0,8.712446362750374,-3133.33333333335,-25.464834276475294,15000.0,0.0,25.0
16000.0,6.109375,0.15625,6400.0,1.09375,914.2857142857143,0.0,15000.0,8.30581876654549,-3171.6216216216135,-27.790973871733932,16000.0,0.0,25.0
17000.0,6.578125,0.234375,4266.666666666667,1.640625,609.5238095238095,0.0,16000.0,6.747415205724271,-3094.0119760479074,-24.59705676243866,17000.0,0.0,25.0
18000.0,7.03125,0.15625,6400.0,1.5625,640.0,0.0,17000.0,6.251571085472224,-3329.4117647058792,-30.33758104180636,18000.0,0.0,25.0
19000.0,7.375,0.234375,4266.666666666667,1.09375,914.2857142857143,0.0,18000.0,7.170187164729653,-3670.1149425287176,-38.30908707569052,19000.0,0.0,25.0
20000.0,7.765625,0.234375,4266.666666666667,1.015625,984.6153846153846,0.0,19000.0,7.473932141036825,-3580.769230769243,-37.218353133961536,20000.0,0.0,25.0
21000.0,8.171875,0.234375,4266.666666666667,1.328125,752.9411764705883,0.0,20000.0,6.466549227595203,-3459.4999999999973,-34.27008675971331,21000.0,0.0,25.0
22000.0,8.515625,0.078125,12800.0,1.171875,853.3333333333334,0.0,21000.0,4.584933402416396,-3567.2897196261665,-38.9026548672566,22000.0,0.0,25.0
23000.0,8.84375,0.15625,6400.0,1.015625,984.6153846153846,0.0,22000.0,6.169665439731965,-3439.82300884954,-36.65869490946364,23000.0,0.0,25.0
24000.0,9.234375,0.078125,12800.0,1.484375,673.6842105263158,0.0,23000.0,5.1339463896601005,-3515.811965811968,-33.98258115597784,24000.0,0.0,25.0
25000.0,9.703125,0.15625,6400.0,1.71875,581.8181818181819,0.0,24000.0,3.301255895669339,-3689.999999999997,-42.77193533197299,25000.0,0.0,25.0
26000.0,10.0625,0.15625,6400.0,1.171875,853.3333333333334,0.0,25000.0,4.140348646694831,-3689.99999999998,-42.77193533197305,26000.0,0.0,25.0
27000.0,10.4375,0.15625,6400.0,1.25,800.0,0.0,26000.0,4.902073415152201,-3689.9999999999854,-42.77193533197299,27000.0,0.0,25.0
28000.0,10.875,0.234375,4266.666666666667,1.5625,640.0,0.0,27000.0,5.596659119919207,-3690.000000000023,-42.771935331973026,28000.0,0.0,25.0
29000.0,11.25,0.234375,4266.666666666667,1.171875,853.3333333333334,0.0,28000.0,6.23260762100843,-3690.0000000000036,-42.771935331973,29000.0,0.0,25.0
30000.0,11.734375,0.234375,4266.666666666667,1.796875,556.5217391304348,0.0,29000.0,6.8170434546818885,-3690.000000000023,-42.771935331973026,30000.0,0.0,25.0
